 Num,Check Item,Audit Value,Configuration Value,Result
 2.1.6,Ensure separate partition exists for /var,mount | grep /var,Found /var separate partition,Compliance,High
 2.1.11,Ensure separate partition exists for /var/log,mount | grep /var/log,Found /var/log separate partition,Compliance,High
 2.1.12,Ensure separate partition exists for /var/log/audit,mount | grep /var/log/audit,Found /var/log/audit separate partition,Compliance,High
 2.1.13,Ensure separate partition exists for /home,mount | grep /home,Found /home separate partition,Compliance,High
 2.1.22,Disable Automounting,autofs 0:off 1:off 2:off 3:off 4:off 5:off 6:off,error reading information on service autofs: No such file or directory,Compliance,High
 2.2.5,Disable the rhnsd Daemon,rhnsd 0:off 1:off 2:off 3:off 4:off 5:off 6:off,rhnsd           0:off   1:off   2:off   3:off   4:off   5:off   6:off,Compliance,High
 2.3.1,Ensure AIDE is installed,rpm -q aide||aide-version,aide-0.14-3.el6_2.2.x86_64,Compliance,High
 2.4.1,Ensure permissions on bootloader config are configured,Access:(0600/-rw-------)Uid:( 0/ root)Gid:( 0/ root),-rw-------. 1 root root 2122 Nov 18 08:19 /boot/grub/grub.conf,Compliance,High
 2.4.3,Ensure authentication required for single user mode,/etc/sysconfig/init|set SINGLE to /sbin/sulogin,SINGLE=/sbin/sulogin,Compliance,High
 2.5.3,Ensure address space layout randomization (ASLR) is enabled,kernel.randomize_va_space = 2,kernel.randomize_va_space = 2,Compliance,High
 2.6.1,Ensure SELinux is not disabled in bootloader configuration,no kernel line has the selinux=0 or enforcing=0 parameters set, kernel /vmlinuz-2.6.32-696.13.2.el6.x86_64 ro root=/dev/mapper/vg00-rootvol rd_NO_LUKS LANG=en_US.UTF-8 rd_LVM_LV=vg00/rootvol rd_NO_MD SYSFONT=latarcyrheb-sun16 rd_LVM_LV=vg00/swapvol KEYBOARDTYPE=pc KEYTABLE=us rd_NO_DM elevator=deadline audit=1 crashkernel=auto kernel /vmlinuz-2.6.32-696.6.3.el6.x86_64 ro root=/dev/mapper/vg00-rootvol rd_NO_LUKS LANG=en_US.UTF-8 rd_LVM_LV=vg00/rootvol rd_NO_MD SYSFONT=latarcyrheb-sun16 rd_LVM_LV=vg00/swapvol KEYBOARDTYPE=pc KEYTABLE=us rd_NO_DM elevator=deadline audit=1 crashkernel=auto kernel /vmlinuz-2.6.32-696.3.2.el6.x86_64 ro root=/dev/mapper/vg00-rootvol rd_NO_LUKS LANG=en_US.UTF-8 rd_LVM_LV=vg00/rootvol rd_NO_MD SYSFONT=latarcyrheb-sun16 rd_LVM_LV=vg00/swapvol KEYBOARDTYPE=pc KEYTABLE=us rd_NO_DM elevator=deadline audit=1 crashkernel=auto kernel /altvmlinuz-2.6.32-431.17.1.el6.x86_64 ro root=/dev/mapper/vg00alt-rootvol rd_NO_LUKS LANG=en_US.UTF-8 rd_LVM_LV=vg00alt/rootvol rd_NO_MD SYSFONT=latarcyrheb-sun16 rd_LVM_LV=vg00/swapvol KEYBOARDTYPE=pc KEYTABLE=us rd_NO_DM elevator=deadline audit=1 crashkernel=auto,Compliance,High
 2.6.1,Ensure SELinux policy is configured,Policy from config file: targeted,Policy from config file: targeted,Compliance,High
 2.6.1,Ensure SETroubleshoot is not installed,'rpm -q setroubleshoot'-->package setroubleshoot is not installed,setroubleshoot is not installed,Compliance,High
 2.6.1,Ensure the MCS Translation Service (mcstrans) is not installed,rpm -q mcstrans'-->package mcstrans is not installed,mcstrans is not installed,Compliance,High
2.6.2,Ensure SELinux is installed,rpm -q libselinux --> libselinux-version,libselinux-2.0.94-7.el6.x86_64 libselinux-2.0.94-7.el6.i686,Compliance,High
2.7.1,Ensure message of the day is configured properly,Run 'egrep '(\v|\r|\m|\s)' /etc/motd' and no results are returned,No results returned,Compliance,High
2.7.1,Ensure local login warning banner is configured properly,Run 'egrep '(\v|\r|\m|\s)' /etc/issue' and no results are returned,No results returned,Compliance,High
2.7.1,Ensure remote login warning banner is configured properly,Run 'egrep '(\v|\r|\m|\s)' /etc/issue.net' and no results are returned,No results returned,Compliance,High
2.7.1,Ensure permissions on /etc/motd are configured,stat /etc/motd --> Access:(0644/-rw-r--r--) Uid:( 0/ root) Gid:( 0/ root),-rw-r--r--. 1 root root 865 Dec 2 2014 /etc/motd,Compliance,High
2.7.1,Ensure permissions on /etc/issue are configured,stat /etc/issue --> Access:(0644/-rw-r--r--) Uid:( 0/ root) Gid:( 0/ root),-rw-r--r--. 1 root root 865 Dec 2 2014 /etc/issue,Compliance,High
